card_id,reg_num,reg_date,file_id,ext,file_name,title,tmp_path,download_status,mime_type,pdf_path,convert_status
60,2716,2020-01-10,19803,.docx,2716_Порівняльна таблиця (13.01.2020),Порівняльна таблиця (13.01.2020),dataset_comparative_2020_2026\comparative_files\2716_Порівняльна таблиця (13.01.2020).docx,OK,application/vnd.openxmlformats-officedocument.wordprocessingml.document,D:\DIPLOM\PdfParserVRU\dataset_comparative_2020_2026\pdf\2716_Порівняльна таблиця (13.01.2020).pdf,OK
70,2714,2020-01-03,19972,.docx,2714_Порівняльна таблиця (08.01.2020),Порівняльна таблиця (08.01.2020),dataset_comparative_2020_2026\comparative_files\2714_Порівняльна таблиця (08.01.2020).docx,OK,application/vnd.openxmlformats-officedocument.wordprocessingml.document,D:\DIPLOM\PdfParserVRU\dataset_comparative_2020_2026\pdf\2714_Порівняльна таблиця (08.01.2020).pdf,OK
73,2713,2020-01-03,20071,.docx,2713_Порівняльна таблиця (08.01.2020),Порівняльна таблиця (08.01.2020),dataset_comparative_2020_2026\comparative_files\2713_Порівняльна таблиця (08.01.2020).docx,OK,application/vnd.openxmlformats-officedocument.wordprocessingml.document,D:\DIPLOM\PdfParserVRU\dataset_comparative_2020_2026\pdf\2713_Порівняльна таблиця (08.01.2020).pdf,OK
74,2712,2020-01-02,20095,.docx,2712_Порівняльна таблиця (08.01.2020),Порівняльна таблиця (08.01.2020),dataset_comparative_2020_2026\comparative_files\2712_Порівняльна таблиця (08.01.2020).docx,OK,application/vnd.openxmlformats-officedocument.wordprocessingml.document,D:\DIPLOM\PdfParserVRU\dataset_comparative_2020_2026\pdf\2712_Порівняльна таблиця (08.01.2020).pdf,OK
78,2711,2020-01-02,20132,.docx,2711_Порівняльна таблиця (02.01.2020),Порівняльна таблиця (02.01.2020),dataset_comparative_2020_2026\comparative_files\2711_Порівняльна таблиця (02.01.2020).docx,OK,application/vnd.openxmlformats-officedocument.wordprocessingml.document,D:\DIPLOM\PdfParserVRU\dataset_comparative_2020_2026\pdf\2711_Порівняльна таблиця (02.01.2020).pdf,OK
80,2710,2020-01-02,20143,.docx,2710_Порівняльна таблиця (02.01.2020),Порівняльна таблиця (02.01.2020),dataset_comparative_2020_2026\comparative_files\2710_Порівняльна таблиця (02.01.2020).docx,OK,application/vnd.openxmlformats-officedocument.wordprocessingml.document,D:\DIPLOM\PdfParserVRU\dataset_comparative_2020_2026\pdf\2710_Порівняльна таблиця (02.01.2020).pdf,OK
83,2709,2020-01-02,20157,.docx,2709_Порівняльна таблиця (02.01.2020),Порівняльна таблиця (02.01.2020),dataset_comparative_2020_2026\comparative_files\2709_Порівняльна таблиця (02.01.2020).docx,OK,application/vnd.openxmlformats-officedocument.wordprocessingml.document,D:\DIPLOM\PdfParserVRU\dataset_comparative_2020_2026\pdf\2709_Порівняльна таблиця (02.01.2020).pdf,OK
149,2776,2020-01-17,21031,.docx,2776_Порівняльна таблиця (21.01.2020),Порівняльна таблиця (21.01.2020),dataset_comparative_2020_2026\comparative_files\2776_Порівняльна таблиця (21.01.2020).docx,OK,application/vnd.openxmlformats-officedocument.wordprocessingml.document,D:\DIPLOM\PdfParserVRU\dataset_comparative_2020_2026\pdf\2776_Порівняльна таблиця (21.01.2020).pdf,OK
154,2785,2020-01-20,21044,.docx,2785_Порівняльна таблиця (21.01.2020),Порівняльна таблиця (21.01.2020),dataset_comparative_2020_2026\comparative_files\2785_Порівняльна таблиця (21.01.2020).docx,OK,application/vnd.openxmlformats-officedocument.wordprocessingml.document,D:\DIPLOM\PdfParserVRU\dataset_comparative_2020_2026\pdf\2785_Порівняльна таблиця (21.01.2020).pdf,OK
156,2786,2020-01-20,21057,.docx,2786_Порівняльна таблиця (21.01.2020),Порівняльна таблиця (21.01.2020),dataset_comparative_2020_2026\comparative_files\2786_Порівняльна таблиця (21.01.2020).docx,OK,application/vnd.openxmlformats-officedocument.wordprocessingml.document,D:\DIPLOM\PdfParserVRU\dataset_comparative_2020_2026\pdf\2786_Порівняльна таблиця (21.01.2020).pdf,OK
